drug_name,num_prescriber,total_cost
OXYBUTYNIN CHLORIDE ER,68659,129968352.68
ORENCIA,1521,129870163.07
ALLOPURINOL,142605,129291500.03
BD ULTRA-FINE PEN NEEDLE,74017,126524021.04
DOXYCYCLINE HYCLATE,73358,125615484.19
NASONEX,22837,125038946.97
PATADAY,17749,124535271.98
OPANA ER,6114,123114455.02
TOLTERODINE TARTRATE ER,26983,120996201.57
GAMUNEX-C,630,119739508.16
PROCRIT,3913,119539669.76
LIALDA,6843,116572654.96
NUEDEXTA,6823,115669467.13
BUPROPION XL,75997,115511642.78
ABILIFY MAINTENA,2648,115140367.41
DIVALPROEX SODIUM,54454,114865475.43
XELJANZ,1466,113709995.85
CARVEDILOL,173260,112765373.45
PRISTIQ ER,16575,112524064.5
VENTOLIN HFA,69261,111888356.77
QVAR,22586,110512475.25
HUMULIN 70-30,15384,110212593.15
AGGRENOX,13867,109918277.97
HUMULIN R U-500,2477,107526736.45
NIACIN ER,23475,107149153.87
ENALAPRIL MALEATE,87368,106876144.74
VENLAFAXINE HCL ER,103881,106173724.92
LATANOPROST,53779,106111417.76
AZOPT,9783,105979129.72
VALSARTAN-HYDROCHLOROTHIAZIDE,75774,105644047.15
ESCITALOPRAM OXALATE,135208,105638908.82
DICLOFENAC SODIUM,50960,105231159.85
PROLASTIN C,684,103855972.15
SERTRALINE HCL,176559,103672398.69
TRAMADOL HCL,201672,101308846.02
NEXAVAR,559,101117623.91
VICTOZA 2-PAK,9576,100364038.85
NOVOLIN 70-30,18392,100073925.73
TIKOSYN,4015,99928904.84
NOVOLOG MIX 70-30,8961,99899175.41
HYDROCHLOROTHIAZIDE,206332,99619559.7
ALPRAZOLAM,161488,99232853.7
BREO ELLIPTA,10054,97456535.94
OLANZAPINE,52444,97288727.25
ADEMPAS,433,97172180.17
TIZANIDINE HCL,68274,96457058.5
TOVIAZ,14368,94443165.25
CLOZAPINE,16825,94326193.42
INTELENCE,2578,93122981.95
RAPAFLO,9270,92983914.37
ZIPRASIDONE HCL,22262,92973795.42
FINASTERIDE,86913,91615953.75
VALGANCICLOVIR HCL,1216,90360305.62
LEVETIRACETAM,66356,90194238.41
FLUOXETINE HCL,133255,89873780.46
ECONAZOLE NITRATE,10994,89841622.8
ZOLPIDEM TARTRATE,151475,89252015.72
BUDESONIDE EC,5265,89150994.62
ILEVRO,4203,89115349.94
MIRTAZAPINE,102112,88908724.87
ISOSORBIDE MONONITRATE ER,104551,88049560.28
PROLIA,3228,87620678.02
ATENOLOL,169550,86554515.43
HUMULIN N,14838,86326307.47
CHLORPROMAZINE HCL,7852,86076582.46
ADVAIR HFA,9049,85435932.05
NIFEDIPINE ER,65006,85185081.56
DIGOXIN,59518,84947870.1
SANTYL,9595,84465682.46
RANITIDINE HCL,132351,84281510.13
DUREZOL,5980,83595892.26
PREDNISONE,209984,83557422.75
DOXAZOSIN MESYLATE,70791,83549555.75
CINRYZE,96,83356736.95
CIMZIA,1183,82817173.9
PIOGLITAZONE HCL,56243,82228164.71
URSODIOL,10072,82204502.88
LIDOCAINE-PRILOCAINE,13223,82193592.57
TRAZODONE HCL,166196,81796263.96
CARBIDOPA-LEVODOPA,46139,81688629.14
COLCRYS,16030,81647185.17
BACLOFEN,78883,81252252.8
DIOVAN,17127,80934532.46
BRILINTA,9115,80058323.57
AMLODIPINE BESYLATE-BENAZEPRIL,57231,77953450.74
VIEKIRA PAK,134,76476353.14
LOSARTAN-HYDROCHLOROTHIAZIDE,111226,74901471.28
BRIMONIDINE TARTRATE,22355,74265984.85
LANSOPRAZOLE,53350,74159963.5
COLCHICINE,18111,73013982.6
DALIRESP,10202,72993240.36
LORAZEPAM,154601,72870430.37
PAROXETINE HCL,113324,72188271.27
AMITRIPTYLINE HCL,101721,71569320.17
JANUMET XR,7921,71227631.36
SAPHRIS,4446,71048007.07
MEMANTINE HCL,28304,70538076.57
OXYBUTYNIN CHLORIDE,69614,70521434.02
MODAFINIL,7608,70504101.62
REBIF REBIDOSE,655,70367178.05
HUMALOG MIX 75-25,6067,69891600.5
GLIMEPIRIDE,94705,69889012.88
EXEMESTANE,5532,69546043.16
HYDRALAZINE HCL,88757,69080750.19
POLYETHYLENE GLYCOL 3350,76126,69070270.43
SEROSTIM,193,68939941.72
VIGAMOX,5986,68508270.58
CITALOPRAM HBR,158636,68292702.6
SIMPONI,889,67759982.64
RISPERIDONE,69914,67461583.27
DILTIAZEM 24HR ER,44098,65854689.49
CALCIUM ACETATE,12294,65609637.79
CARBAMAZEPINE,32818,64599651.92
TUDORZA PRESSAIR,7980,64136253.06
CLONAZEPAM,143767,63867130.42
SPIRIVA RESPIMAT,6477,63178794.14
TIMOLOL MALEATE,29741,63128456.13
TARGRETIN,85,62800152.09
ASACOL HD,4426,61913619.42
ALENDRONATE SODIUM,132527,61912351.61
AZOR,9324,61620384.34
KEPPRA,2510,61502707.44
VOTRIENT,466,61397305.71
LAMICTAL,2419,60155919.18
LOTEMAX,6980,58873542.77
PATANOL,8895,58779745.89
SUTENT,409,58773360.07
LOVASTATIN,105572,58158443.37
SUSTIVA,2607,57442558.42
TRIAMCINOLONE ACETONIDE,88115,57005741.75
LIDODERM,5447,56984907.97
FOSRENOL,2100,56932928.38
AZITHROMYCIN,167299,56633509.9
ZEMAIRA,321,56545188.25
FLUOCINONIDE,16881,55958723.33
ORENITRAM ER,226,55324595.71
LISINOPRIL-HYDROCHLOROTHIAZIDE,129703,54910577.89
KALETRA,2285,54725954.83
FIRAZYR,47,54721886.21
GLUMETZA,979,54602967.91
METRONIDAZOLE,42857,54314911.55
DIGOX,44530,53554954.03
BYDUREON PEN,3907,53321154.3
CYCLOBENZAPRINE HCL,96806,53067399.8
PROPRANOLOL HCL ER,28661,52801402.21
EXJADE,428,52517270.08
BYETTA,4828,51689450.91
BUTRANS,5593,51358905.3
STELARA,241,51321681.65
MELOXICAM,138417,51139919.65
JUXTAPID,91,51032176.34
CLONIDINE,16110,50528348.46
METHYLPREDNISOLONE,74024,50165010.93
ESTRACE,8819,50084927.58
VAGIFEM,8619,49691692.77
PROLENSA,3585,49640287.89
CUBICIN,1004,49383386.71
TRIAMTERENE-HYDROCHLOROTHIAZID,98767,49073614.7
ELMIRON,2899,48564509.19
RIVASTIGMINE,11999,48269497.91
SPIRONOLACTONE,114773,48213647.46
NEUPRO,2953,47674034.3
CLOMIPRAMINE HCL,4444,47610103.73
FENOFIBRIC ACID,16768,47306090.57
RAMIPRIL,64728,47035005
FANAPT,2048,47025189.13
FLUOROURACIL,7507,47022151.49
ROPINIROLE HCL,71531,47011518.34
PENTASA,3202,46945337.16
ONFI,1563,46918645.56
KLOR-CON M20,61081,46913757.23
DILTIAZEM 24HR CD,51086,46835393.18
ATROVENT HFA,8599,46775090.09
DEXTROAMPHETAMINE-AMPHETAMINE,24550,46715855.98
BUSPIRONE HCL,70622,46687171.8
AZELASTINE HCL,23418,46407884.67
KETOCONAZOLE,38024,45643186.38
CARBAMAZEPINE ER,13497,45345015.08
APRISO,4551,45127793.54
BYDUREON,3878,44955909.28
THALOMID,345,44857934.95
CARTIA XT,48211,44727054.63
INSULIN SYRINGE,47786,44542842.21
NOVOLIN N,10921,44329413.18
BUPROPION HCL SR,61162,44030706.3
AMIODARONE HCL,53287,44007894.91
GATTEX,73,43866379.22
SUMATRIPTAN SUCCINATE,36985,43833381.39
IBANDRONATE SODIUM,23000,43671902.02
PHENYTOIN SODIUM EXTENDED,41388,43664454.66
ANORO ELLIPTA,4843,43631017.46
CHLORTHALIDONE,37929,43098380.74
BUDESONIDE,5857,42933027.21
TEMAZEPAM,70938,42893666.63
BUMETANIDE,33720,42883816.33
CARAFATE,8848,42539040.7
CLOTRIMAZOLE-BETAMETHASONE,35064,42248254.77
CIPROFLOXACIN HCL,161887,42172914.04
LEVOFLOXACIN,110163,41974656.6
DORZOLAMIDE-TIMOLOL,22007,41870686.71
VIIBRYD,8798,41352427.45
LABETALOL HCL,35984,41095270.11
NUVIGIL,3522,41022412.36
KOMBIGLYZE XR,5085,40712178.9
ENTACAPONE,5396,40011968.46
PROMACTA,442,39920013.21
CIALIS,6673,39543988.66
LEFLUNOMIDE,5794,39341085.01
GLIPIZIDE,108406,39332829.03
OXYMORPHONE HCL ER,3595,39260866.97
DEXTROAMPHETAMINE-AMPHET ER,11076,39256103.18
TAMIFLU,9601,39134329.94
FAMOTIDINE,86941,39072588.14
BANZEL,855,39001251.15
VANCOMYCIN HCL,7628,38989074.95
NOVOLIN R,10456,38901449.05
XOLAIR,663,38839465.72
POTASSIUM CITRATE ER,8525,38826784.45
OTEZLA,924,38705970.21
SELZENTRY,1101,38544368.1
IBUPROFEN,128291,38332301.77
ENTECAVIR,1710,38298850.05
ESTRADIOL,50289,38177837.27
AMOXICILLIN-CLAVULANATE POTASS,98183,38165835.07
NITROFURANTOIN MONO-MACRO,44647,38080615.33
LAMOTRIGINE,58639,37921051.76
TRIBENZOR,5661,37822796.24
VERAPAMIL ER,61524,37569156.19
XALKORI,213,37432400.5
NYSTATIN,50735,37415358.58
NEULASTA,275,37367803.9
PRAMIPEXOLE DIHYDROCHLORIDE,46681,37122907.89
VALACYCLOVIR,41835,37106814.97
BRINTELLIX,5016,37024232.67
AMANTADINE,12661,37013274.93
HALOPERIDOL,25819,36936492.14
DESONIDE,7910,36505942.36
SUPREP,6336,36225036.39
LIVALO,7479,36111226.03
INLYTA,181,35962978.82
HUMULIN R,10882,35921687.11
NEUPOGEN,626,35872521.21
PLEGRIDY PEN,304,35699775.22
ACETAMINOPHEN-CODEINE,81390,35402890.13
TOPIRAMATE,63299,35253579.66
OLYSIO,82,35152080.3
BESIVANCE,2496,35015877.98
PRIVIGEN,196,34397062.81
ASMANEX,7003,34368434.43
PROPRANOLOL HCL,62490,34158096.25
TACROLIMUS,4071,33912025.41
VASCEPA,3369,33790956.35
REMICADE,222,33750236.03
CARBIDOPA-LEVODOPA-ENTACAPONE,3751,33653244.17
OXCARBAZEPINE,25810,33590341.88
ZENPEP,2404,33458719.65
COREG CR,6220,33457187.61
ONDANSETRON HCL,50899,33002934.8
CLONIDINE HCL,103208,32826630.65
ACYCLOVIR,40784,32714171.21
NITROSTAT,50048,32373089.88
GLIPIZIDE ER,55140,32221348.58
TOPAMAX,1721,32087729.69
METHADONE HCL,27158,31888021.82
PROSOL,2049,31652061.18
CEFUROXIME,24569,31638058.62
BUPRENORPHINE-NALOXONE,3116,31608390.82
NADOLOL,15197,31234409.92
TOPROL XL,23764,30925459.04
NYSTATIN-TRIAMCINOLONE,10190,30924336.24
SUCRALFATE,33756,30662118.47
IRBESARTAN,38641,30619448.01
PREZCOBIX,688,30609888.9
JALYN,5653,30417609.74
ACTEMRA,545,30016468.71
ARANESP,1149,29866872.27
STRATTERA,4242,29753475.86
ISOSORBIDE DINITRATE,19722,29123259.86
MECLIZINE HCL,62256,29093564.95
AMLODIPINE-VALSARTAN,10350,28884895.77
FAZACLO,926,27798366.18
TOBRAMYCIN-DEXAMETHASONE,9285,27591844.92
FLECAINIDE ACETATE,15191,27493144.37
FLUCONAZOLE,67487,27356169.01
CARBIDOPA-LEVODOPA ER,13119,27308307.23
GILOTRIF,258,26989516.33
MIDODRINE HCL,15519,26935423.72
CELEBREX,4541,26923646.39
RENAGEL,1234,26893629.04
METOLAZONE,27346,26731915.07
METHYLPHENIDATE HCL,18093,26675291.19
JENTADUETO,2743,26648871.53
HUMULIN 70/30 KWIKPEN,2767,26580765.74
CEPHALEXIN,125407,25803060.29
PROPAFENONE HCL ER,2443,25768198.01
COUMADIN,12102,25749976.18
OLANZAPINE ODT,5290,25544780.66
VELPHORO,856,25519303.26
BENAZEPRIL HCL,76809,25241767.71
HIZENTRA,250,25227870.38
CALCITRIOL,21577,25216146.33
LEXIVA,935,25200474.57
DRONABINOL,3121,24938697.08
APOKYN,71,24930246.75
CALCIPOTRIENE,2670,24906382.44
NUCYNTA ER,2086,24866219.72
NORTHERA,180,24718512.34
TOUJEO SOLOSTAR,2020,24661337.8
SILDENAFIL,3019,24546141.49
SAVELLA,5340,24358682.63
TYSABRI,173,24314561.93
BERINERT,17,24296835.8
NEVANAC,2160,24206013.59
DILTIAZEM ER,29379,24133066.02
DELZICOL,2876,24013469.84
DIAZEPAM,92509,23796976.61
ERIVEDGE,146,23776136.27
ARALAST NP,172,23751654.52
BENZTROPINE MESYLATE,34079,23688634.07
BUTALBITAL-ACETAMINOPHEN-CAFFE,20011,23551592.08
FARXIGA,3086,23545876.85
REPAGLINIDE,8856,23493326.55
BETAMETHASONE DIPROPIONATE,11785,23481941.25
LAMICTAL XR,782,23328040.8
NAPROXEN,90817,23244396.87
VIAGRA,2134,23210469.54
HYDROMORPHONE HCL,25650,23150752.92
GALANTAMINE HBR,8910,23145628.84
AMOXICILLIN,157839,23134251.13
SIMBRINZA,5305,22980102.29
KETOROLAC TROMETHAMINE,10303,22913486.6
LAMOTRIGINE ER,2009,22850952.28
GEMFIBROZIL,51305,22714181.81
RISEDRONATE SODIUM,5224,22094450.07
CICLOPIROX,10601,21890324.74
VENLAFAXINE HCL,29062,21775103.69
VYVANSE,4235,21758607.13
NUCYNTA,2256,21676413.27
FONDAPARINUX SODIUM,731,21546957.75
CHANTIX,5169,21538926.29
MYCOPHENOLATE MOFETIL,7798,21476943.77
METHYLPHENIDATE ER,5340,21447369.78
VALCYTE,342,21414487.85
PREVACID,3290,21328259.13
PERPHENAZINE,8437,21280327.89
MUPIROCIN,46145,21273353.96
SULFAMETHOXAZOLE-TRIMETHOPRIM,118585,21250039.48
ROZEREM,4183,21163403.38
ALBUTEROL SULFATE,15686,21122655.17
CHOLESTYRAMINE,10706,20976774.08
ANASTROZOLE,18013,20811970.71
HYDROMORPHONE ER,1208,20806250.53
LACTULOSE,35306,20665252.75
PERCOCET,933,20571949.64
DAKLINZA,53,20571755.76
BENAZEPRIL-HYDROCHLOROTHIAZIDE,14060,20549483.43
INVANZ,2012,20496384.07
ACETAZOLAMIDE,7050,20433023.45
CAPTOPRIL,10341,20262011.15
LAMIVUDINE-ZIDOVUDINE,1743,20044372.81
AVONEX ADMINISTRATION PACK,250,19945591.21
QUINAPRIL HCL,38609,19895809.28
METHENAMINE HIPPURATE,6806,19844173.48
CEFDINIR,20568,19705471.97
DOXEPIN HCL,26185,19643302.34
GAMMAKED,99,19608125.65
ABACAVIR,2001,19421354.81
GLIPIZIDE-METFORMIN,9214,19390649.47
FELODIPINE ER,19258,19378836.16
STIVARGA,132,19319122.76
TERAZOSIN HCL,59643,19244690.04
PARICALCITOL,2786,19240959.9
GLIPIZIDE XL,35578,19213642.48
OXYCODONE HCL ER,1632,19124090.75
ETODOLAC,11687,18975775.81
KALYDECO,51,18927258.98
SABRIL,65,18887371.44
NOXAFIL,177,18884674.65
TORSEMIDE,31800,18692754.58
ENABLEX,3743,18568392.85
RITUXAN,111,18469734.22
HUMULIN N KWIKPEN,1784,18287524.02
EPIPEN 2-PAK,1951,18125693.98
NATEGLINIDE,7375,18061306.22
ENDOCET,7746,17963625.69
IPRATROPIUM BROMIDE,23074,17958493.8
FENTORA,88,17953060.47
WELLBUTRIN XL,835,17859429.48
PILOCARPINE HCL,7015,17750268.73
DURAGESIC,855,17742752.09
BOSULIF,133,17558499.62
MEKINIST,99,17547280.41
AVASTIN,116,17191060.46
PIOGLITAZONE-METFORMIN,4606,17183120.32
NIFEDICAL XL,25255,17161526.18
LEVOCETIRIZINE DIHYDROCHLORIDE,22214,17018990.09
PREMPRO,6369,16987945.93
FLUOROMETHOLONE,5201,16941824.25
NITROFURANTOIN,17262,16930228.88
IPRATROPIUM-ALBUTEROL,16274,16911062.34
SOTALOL,26925,16901069.47
ESZOPICLONE,15158,16753648.8
TELMISARTAN,11176,16742050.44
OFLOXACIN,10842,16674455.62
TOLTERODINE TARTRATE,8097,16646746.66
CIPRODEX,3906,16581501.75
SEREVENT DISKUS,3282,16355209.27
ORKAMBI,47,16351594.77
MOVIPREP,3755,16348236.81
KEPPRA XR,877,16288920
ZYDELIG,138,16264155.51
PRIMIDONE,28242,16225381.58
HYDROXYZINE HCL,34272,16187052.03
NABUMETONE,22258,16108784.71
TAFINLAR,103,16083101.22
TEKTURNA,4933,16073577.77
ZOLPIDEM TARTRATE ER,11355,15919422.71
HUMALOG MIX 50-50 KWIKPEN,795,15769695.94
RYTARY,630,15710926.96
MORPHINE SULFATE,21606,15676339.14
JADENU,96,15674665.42
LUPRON DEPOT,368,15624325.18
LYNPARZA,169,15561417.67
LOVAZA,2808,15355841.6
TRULICITY,1158,15332718.11
KUVAN,52,15307576.68
PHENOBARBITAL,20698,15215812.01
CLOZARIL,640,15174676.42
ACITRETIN,944,15101067.51
VIMOVO,437,15009485.8
AMMONIUM LACTATE,14049,14947339.71
CLINDAMYCIN PHOSPHATE,8016,14935068.93
AZATHIOPRINE,11967,14859066.74
COLESTIPOL HCL,7259,14651612
CILOSTAZOL,25653,14627039.48
CYMBALTA,3130,14570253.77
DILANTIN,9384,14547893.41
ATOVAQUONE,636,14527910.24
DIPHENOXYLATE-ATROPINE,22836,14441919.46
FORADIL,2667,14409008.56
ACTIMMUNE,21,14237715.12
CARISOPRODOL,26412,14195770.27
DORZOLAMIDE HCL,12837,14122425.62
BARACLUDE,525,14064388.11
SAMSCA,143,14044484.19
APTIOM,606,13985766.05
ONDANSETRON ODT,28915,13981316.96
GRALISE,1518,13930208.86
RAVICTI,16,13918985.49
TEGRETOL XR,3985,13822976.29
FETZIMA,2443,13814874.75
HALOPERIDOL DECANOATE,5599,13805636.92
KLOR-CON M10,25974,13785906.08
KALBITOR,18,13776933.3
NORTRIPTYLINE HCL,41332,13645056.49
BUPROPION HCL,18747,13631377.56
HYDROCORTISONE,26440,13622336.19
ATELVIA,1991,13611734.63
DESOXIMETASONE,3905,13518661.17
LAMIVUDINE,2298,13415545.2
ICLUSIG,59,13371226.71
TROSPIUM CHLORIDE,5042,13335498.45
PENNSAID,316,13318306.48
EDURANT,676,13266247.48
DEPAKOTE ER,1754,13125291.82
ZYPREXA,1000,13083282.74
ERYTHROMYCIN,13172,13064348.77
BISOPROLOL FUMARATE,15376,13063261.99
OCTAGAM,57,13012074.55
NITROGLYCERIN PATCH,16678,12891652.16
BALSALAZIDE DISODIUM,3374,12750828.21
TAMOXIFEN CITRATE,10548,12714601.08
NYSTOP,14387,12573900.64
PROGRAF,761,12561961.12
CALCITONIN-SALMON,9104,12548270.37
SOMAVERT,81,12327391.39
FLECTOR,1345,12309326.02
PYRIDOSTIGMINE BROMIDE,5513,12279199.04
DYMISTA,2909,12231992.88
GLASSIA,75,12039601.2
ACTONEL,2584,11953954.23
APIDRA SOLOSTAR,1179,11904506.93
TELMISARTAN-HYDROCHLOROTHIAZID,5550,11774777.96
CANASA,854,11707989.97
PROMETHAZINE HCL,37660,11703812.69
DILTIAZEM HCL,27506,11696739.15
TRAMADOL HCL-ACETAMINOPHEN,17609,11621999.36
GATIFLOXACIN,1454,11612391.84
TESTOSTERONE CYPIONATE,10662,11595158.76
MEGESTROL ACETATE,15299,11498405.03
SOLIRIS,25,11491590.7
GLYBURIDE,23954,11481914.41
METAXALONE,2825,11479035.4
SEROQUEL,1243,11474011.69
AMLODIPINE-ATORVASTATIN,3114,11384991.13
REVATIO,181,11337520.01
CAYSTON,92,11308277.63
DESMOPRESSIN ACETATE,6120,11271388.18
BETHANECHOL CHLORIDE,6506,11207936.88
TROSPIUM CHLORIDE ER,2530,11191299.19
LIPITOR,2435,11114169.54
ASPIRIN-DIPYRIDAMOLE ER,2162,11081192.44
HYDROCORTISONE VALERATE,3023,11049184.61
EPLERENONE,4386,11007705.59
OXYMORPHONE HCL,1796,10983168
DICYCLOMINE HCL,43554,10927087.53
METHAZOLAMIDE,1314,10895527.86
JARDIANCE,1290,10879850.8
LUMIZYME,15,10829915.11
CLOZAPINE ODT,849,10741107.17
THEOPHYLLINE ANHYDROUS,15517,10718511.84
TRANSDERM-SCOP,3932,10711552.24
EXFORGE,2523,10699394.2
TRILEPTAL,802,10624321.67
DEPAKOTE,1363,10612930.5
CEVIMELINE HCL,2178,10598305.5
ROPINIROLE ER,2061,10585286.28
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,462,10562409.83
FELBAMATE,865,10542267.97
BOTOX,352,10526586.95
LIOTHYRONINE SODIUM,10321,10457373.06
CLOTRIMAZOLE,11931,10373884.34
LETROZOLE,9870,10242417.8
ATENOLOL-CHLORTHALIDONE,19951,10155562.13
NEVIRAPINE ER,721,10111341.35
ATIVAN,370,10054129.67
CEFTRIAXONE,6477,10030987.44
PROVENTIL HFA,6716,9986383.06
EXTAVIA,162,9958264.94
HUMALOG MIX 50-50,639,9949565.06
METHOCARBAMOL,22698,9848024.31
GLUCAGON EMERGENCY KIT,1722,9836048.64
PROGESTERONE,5461,9813925.86
PRAZOSIN HCL,13304,9763032.74
ZONEGRAN,398,9752809.58
FABRAZYME,27,9724536.28
VORICONAZOLE,439,9616504.33
MESTINON,508,9590514.71
TYKERB,143,9535463.9
HERCEPTIN,89,9530365.16
RELPAX,1385,9508843.05
SIROLIMUS,587,9502324.17
HALOBETASOL PROPIONATE,2311,9475402.65
EFFEXOR XR,1586,9472952.9
BUPRENORPHINE HCL,2379,9444746.42
CHENODAL,13,9441616.2
DICLOFENAC POTASSIUM,7106,9424510.52
PROTONIX,2062,9409875.08
PROCTOZONE-HC,6141,9372224.59
GAMMAPLEX,54,9306196.08
HETLIOZ,76,9261253.95
PULMICORT FLEXHALER,2306,9259381.69
TRAMADOL HCL ER,4046,9258358.25
OMEPRAZOLE-SODIUM BICARBONATE,993,9207380.26
